date,gnp,m1,deflator
1950-01-01,267.6,110.2,56.04
1950-04-01,277.1,111.75,56.21
1950-07-01,294.8,112.95,56.41
1950-10-01,306.3,113.93,56.67
1951-01-01,320.4,115.08,56.77
1951-04-01,328.3,116.19,57.01
1951-07-01,335.0,117.76,56.99
1951-10-01,339.2,119.89,57.58
1952-01-01,341.9,121.31,57.58
1952-04-01,342.1,122.37,57.57
1952-07-01,347.8,123.64,57.92
1952-10-01,360.0,124.72,58.58
1953-01-01,366.1,125.33,58.76
1953-04-01,369.4,126.05,58.8
1953-07-01,368.4,126.22,59.0
1953-10-01,363.1,126.37,58.74
1954-01-01,362.5,126.54,59.38
1954-04-01,362.3,127.18,59.58
1954-07-01,366.7,128.38,59.45
1954-10-01,375.6,129.72,59.77
1955-01-01,388.2,131.07,60.27
1955-04-01,396.2,131.88,60.65
1955-07-01,404.8,132.4,61.03
1955-10-01,411.0,132.64,61.4
1956-01-01,412.8,133.11,61.91
1956-04-01,418.4,133.38,62.43
1956-07-01,423.5,133.48,63.13
1956-10-01,432.1,134.09,63.69
1957-01-01,440.2,134.29,64.4
1957-04-01,442.3,134.36,64.65
1957-07-01,449.4,134.26,65.28
1957-10-01,444.0,133.48,65.37
1958-01-01,436.8,133.72,65.63
1958-04-01,440.7,135.22,65.79
1958-07-01,453.9,136.64,66.17
1958-10-01,467.0,138.48,66.47
1959-01-01,477.0,140.35,67.04
1959-04-01,490.6,141.75,67.55
1959-07-01,489.0,142.23,67.81
1959-10-01,495.0,141.2,68.0
1960-01-01,506.9,140.83,68.44
1960-04-01,506.3,140.83,68.56
1960-07-01,508.0,142.0,68.86
1960-10-01,504.8,141.98,68.96
1961-01-01,508.2,142.85,68.88
1961-04-01,519.2,143.88,69.22
1961-07-01,528.2,144.9,69.54
1961-10-01,542.6,146.18,69.65
1962-01-01,554.2,147.18,70.23
1962-04-01,562.7,147.95,70.48
1962-07-01,568.9,147.9,70.62
1962-10-01,574.3,148.93,71.08
1963-01-01,582.0,150.45,71.41
1963-04-01,590.7,151.93,71.46
1963-07-01,601.8,153.38,71.66
1963-10-01,612.4,154.8,72.17
1964-01-01,625.3,155.85,72.36
1964-04-01,634.0,157.2,72.57
1964-07-01,642.8,159.75,72.97
1964-10-01,648.8,161.63,73.16
1965-01-01,668.8,162.9,73.77
1965-04-01,681.7,163.9,74.13
1965-07-01,696.4,166.05,74.56
1965-10-01,717.2,169.1,74.96
1966-01-01,738.5,171.95,75.71
1966-04-01,750.0,172.98,76.58
1966-07-01,760.6,172.8,76.99
1966-10-01,774.9,173.33,77.75
1967-01-01,780.7,175.25,78.27
1967-04-01,788.6,178.1,78.53
1967-07-01,805.7,181.93,79.28
1967-10-01,823.3,184.73,80.13
1968-01-01,841.2,187.15,81.15
1968-04-01,867.2,190.63,82.14
1968-07-01,884.9,194.3,82.84
1968-10-01,900.3,198.55,83.99
1969-01-01,921.2,201.73,84.97
1969-04-01,937.4,203.18,86.1
1969-07-01,955.3,204.18,87.49
1969-10-01,962.0,206.1,88.62
1970-01-01,972.0,207.9,89.89
1970-04-01,986.3,209.78,91.07
1970-07-01,1003.6,212.78,91.79
1970-10-01,1009.0,216.08,93.03
1971-01-01,1049.3,220.28,94.4
1971-04-01,1068.9,225.25,95.7
1971-07-01,1086.6,228.45,96.52
1971-10-01,1105.8,230.7,97.39
1972-01-01,1142.4,235.6,98.72
1972-04-01,1171.7,239.38,99.42
1972-07-01,1196.1,244.55,100.25
1972-10-01,1233.5,250.7,101.54
1973-01-01,1283.5,254.8,102.95
1973-04-01,1307.6,258.4,104.75
1973-07-01,1337.7,261.03,106.53
1973-10-01,1376.7,264.68,108.74
1974-01-01,1387.7,268.77,110.72
1974-04-01,1423.8,271.23,113.48
1974-07-01,1451.6,273.73,116.42
1974-10-01,1473.8,276.73,119.79
1975-01-01,1479.8,278.75,122.88
1975-04-01,1516.7,283.8,124.44
1975-07-01,1578.5,288.13,126.68
1975-10-01,1621.8,290.88,128.99
1976-01-01,1672.0,295.18,130.12
1976-04-01,1698.6,299.53,131.3
1976-07-01,1729.0,303.35,132.89
1976-10-01,1772.5,309.35,134.99
1977-01-01,1834.8,316.55,136.8
1977-04-01,1895.1,321.8,139.01
1977-07-01,1954.4,327.6,141.03
1977-10-01,1988.9,334.8,143.24
1978-01-01,2031.7,341.13,145.12
1978-04-01,2139.5,348.7,148.89
1978-07-01,2202.5,335.45,152.02
1978-10-01,2281.6,361.38,155.38
1979-01-01,2335.5,367.08,158.6
1979-04-01,2377.9,376.1,161.85
1979-07-01,2454.8,384.58,165.12
1979-10-01,2502.9,388.38,168.05
1980-01-01,2572.9,394.3,171.94
1980-04-01,2578.8,390.0,176.46
1980-07-01,2639.1,405.5,180.24
1980-10-01,2736.0,416.1,185.13
1981-01-01,2875.8,420.9,190.01
1981-04-01,2918.0,429.3,193.03
1981-07-01,3009.3,432.6,197.7
1981-10-01,3027.9,437.5,201.69
1982-01-01,3026.0,448.8,203.98
1982-04-01,3061.2,451.3,206.77
1982-07-01,3080.1,458.2,208.53
1982-10-01,3109.6,475.7,210.27
1983-01-01,3173.8,490.9,212.87
1983-04-01,3267.0,505.2,214.25
1983-07-01,3346.6,517.2,215.89
1983-10-01,3431.7,523.4,218.21
